시도,시군구,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
서울,강남구,4.4(0.7),6.0(0.8),6.3(0.9),7.2(0.8),7.4(1.0),6.1(0.8),6.4(0.8),5.1(0.7),5.3(0.7),5.9(0.8),5.9(0.8),5.4(0.7),6.3(0.8),5.6(0.7),6.2(0.7),8.1(0.9),6.7(0.8)
서울,강동구,6.5(0.9),6.4(0.8),7.2(1.0),6.4(0.8),7.0(0.9),8.2(0.9),6.8(0.8),8.0(0.9),8.8(1.0),6.7(0.8),6.5(0.8),6.2(0.7),8.5(0.9),7.6(0.8),8.0(0.9),7.9(0.9),6.5(0.8)
서울,강북구,7.2(0.9),8.2(1.0),8.1(1.0),5.8(0.8),7.5(0.8),7.3(0.8),7.9(0.9),7.7(0.8),7.6(0.9),8.1(0.8),6.9(0.8),9.8(1.0),10.2(0.9),6.8(0.8),10.3(1.2),10.3(1.1),11.7(1.3)
서울,강서구,6.9(1.0),6.1(0.8),6.9(0.8),7.9(0.9),7.7(0.9),6.6(0.8),7.2(0.9),7.1(0.9),6.6(0.8),6.7(0.8),8.5(0.9),5.6(0.8),7.2(0.7),7.6(0.9),8.5(0.8),8.7(1.0),10.0(1.0)
서울,관악구,5.2(0.6),6.8(0.9),8.8(1.3),5.7(0.8),8.0(0.9),7.8(1.0),6.2(0.7),7.5(0.8),9.2(0.9),7.5(1.0),7.2(0.9),7.0(0.8),7.2(0.8),7.9(0.8),8.1(1.0),7.1(1.0),9.4(0.8)
서울,광진구,5.8(0.8),6.8(1.0),6.8(0.9),7.3(0.9),7.3(0.9),4.6(0.7),7.6(0.9),8.3(1.0),8.5(1.0),7.1(0.9),7.0(0.9),7.4(0.8),8.4(0.9),7.7(0.8),8.5(1.0),10.4(0.9),8.0(0.8)
서울,구로구,7.1(1.0),8.2(1.1),7.5(1.0),5.8(0.8),7.6(0.9),8.1(0.9),8.6(0.9),7.8(1.0),7.6(0.9),7.3(0.9),7.7(0.8),7.9(0.9),8.3(0.9),7.7(0.8),10.5(1.1),8.4(0.9),9.6(1.0)
서울,금천구,6.2(0.8),6.9(0.8),7.8(1.0),7.5(0.9),6.5(0.8),8.8(0.9),8.2(0.8),7.8(0.8),10.0(1.0),7.8(0.9),7.5(0.9),6.6(0.8),9.0(1.0),9.6(1.0),10.2(1.0),8.7(1.0),10.6(1.0)
서울,노원구,7.5(0.9),8.5(1.1),6.5(0.8),6.0(0.8),7.5(1.0),6.6(0.8),6.7(0.8),6.5(0.8),8.4(0.9),8.9(0.9),6.8(0.7),8.4(0.9),8.5(0.9),7.5(0.9),7.3(0.8),7.0(0.8),9.3(1.0)
서울,도봉구,6.0(0.8),6.4(0.8),8.3(0.8),7.2(0.9),7.5(0.8),8.7(0.9),8.5(0.9),5.3(0.7),9.2(1.0),7.9(0.9),7.2(0.9),8.5(0.9),9.7(1.0),9.7(1.0),10.5(1.1),8.5(1.1),9.5(1.0)
