시도,시군구,2017,2018,2019,2020,2021,2022,2023,2024
서울,강남구,23.1,24.1,,26.3,23.9,26.8,27.5,25.3
서울,강동구,24.6,29.6,,32.0,27.9,30.0,33.9,29.5
서울,강북구,29.1,29.3,,31.2,32.1,33.3,33.2,36.9
서울,강서구,25.2,30.7,,31.2,30.6,29.0,29.2,31.1
서울,관악구,25.0,26.1,,25.5,29.8,30.7,28.7,33.2
서울,광진구,25.2,30.4,,24.5,28.5,31.6,30.5,31.8
서울,구로구,27.7,30.3,,28.7,28.2,32.5,30.6,36.6
서울,금천구,28.7,28.1,,29.6,35.6,33.6,31.6,35.7
서울,노원구,27.1,30.4,,31.7,29.6,29.1,29.2,30.8
서울,도봉구,27.9,27.5,,36.0,34.6,33.1,30.4,30.4
서울,동대문구,26.8,29.4,,30.5,31.2,30.5,29.4,34.7
서울,동작구,25.0,27.4,,28.9,29.6,31.0,26.1,32.9
서울,마포구,22.4,25.6,,27.7,26.6,29.7,28.7,34.1
서울,서대문구,26.1,28.3,,27.2,33.8,30.6,29.3,31.2
서울,서초구,24.3,24.1,,24.7,24.4,26.8,24.4,25.7
서울,성동구,26.4,29.3,,28.7,26.5,28.3,26.9,28.5
서울,성북구,22.9,32.2,,27.0,28.1,31.9,28.4,32.4
서울,송파구,21.6,25.1,,26.7,28.1,28.8,24.9,28.3
서울,양천구,25.3,29.1,,28.9,33.6,30.8,30.7,30.5
서울,영등포구,26.5,29.2,,28.0,27.9,29.6,24.5,28.5
서울,용산구,25.7,24.0,,24.6,26.0,28.2,26.6,25.4
서울,은평구,27.5,33.6,,27.7,30.4,30.7,31.1,30.7
서울,종로구,25.3,32.5,,28.9,26.3,27.1,32.1,27.0
서울,중구,24.0,26.1,,25.4,28.2,25.1,24.8,27.3
서울,중랑구,30.7,34.1,,31.8,31.3,35.5,32.7,34.0
부산,강서구,27.8,32.9,,30.5,31.5,29.6,30.1,31.1
부산,금정구,18.3,18.7,,27.7,28.3,28.2,29.6,32.3
부산,기장군,26.9,33.0,,31.9,33.0,32.5,31.1,38.2
부산,남구,26.4,31.2,,32.6,28.2,30.3,32.4,33.4
부산,동구,26.9,28.8,,32.5,31.3,32.1,33.8,34.6
부산,동래구,25.0,27.3,,28.7,26.9,29.7,30.4,30.3
부산,부산진구,28.3,25.9,,28.1,28.7,29.9,34.8,32.9
부산,북구,25.5,28.6,,30.2,28.2,36.2,33.7,31.2
부산,사상구,27.6,33.0,,35.0,34.4,31.0,33.2,32.6
부산,사하구,24.5,29.2,,30.8,32.2,29.8,35.6,36.9
부산,서구,27.3,31.2,,26.4,25.9,33.1,31.7,31.7
부산,수영구,27.9,26.3,,30.6,29.6,33.8,29.6,31.6
부산,연제구,23.3,31.3,,27.5,30.9,30.8,31.7,33.5
부산,영도구,28.6,34.3,,31.8,36.9,31.8,35.0,37.8
부산,중구,28.9,31.8,,33.3,29.9,29.9,34.4,33.6
부산,해운대구,26.5,28.4,,28.8,28.4,32.7,28.6,34.4
대구,남구,23.6,27.2,,33.6,30.2,34.1,32.5,33.2
대구,달서구,28.6,26.9,,30.2,26.6,27.8,32.3,37.0
대구,달성군,28.3,33.0,,32.0,31.1,31.3,32.8,35.1
대구,동구,27.5,30.8,,29.2,34.7,31.3,33.9,35.4
대구,북구,25.0,28.4,,31.4,30.0,29.5,35.8,34.5
대구,서구,27.2,32.4,,30.6,34.0,27.1,37.3,34.2
대구,수성구,23.4,23.9,,25.1,25.0,23.6,24.9,22.5
대구,중구,28.0,23.0,,27.6,30.2,33.0,24.3,29.7
대구,군위군,,,,,,,29.6,37.6
인천,강화군,31.5,34.8,,40.2,37.9,36.0,38.6,34.1
인천,계양구,28.1,32.8,,32.9,31.7,28.8,33.0,36.0
인천,미추홀구,31.6,31.2,,31.3,36.3,34.1,39.7,33.9
인천,남동구,30.4,31.4,,36.7,35.7,30.1,35.8,37.1
인천,동구,30.7,35.3,,39.1,35.2,38.4,39.2,35.5
인천,부평구,30.6,29.7,,33.6,35.7,36.5,35.0,38.3
인천,서구,29.5,34.7,,33.7,36.9,31.1,30.5,32.8
인천,연수구,29.0,29.5,,30.5,29.4,31.7,31.8,28.6
인천,옹진군,29.9,45.4,,40.3,38.3,38.0,41.7,39.4
인천,중구,27.2,35.0,,32.3,31.6,36.3,36.3,33.5
광주,광산구,29.4,29.0,,27.5,33.5,31.4,31.9,33.8
광주,남구,26.7,30.6,,27.3,29.8,30.3,27.8,33.5
광주,동구,27.0,29.3,,29.3,26.1,26.2,24.3,29.3
광주,북구,25.1,29.7,,31.6,32.2,31.5,29.2,30.3
광주,서구,28.5,29.6,,31.4,31.2,32.1,28.4,32.5
대전,대덕구,27.7,30.5,,30.4,32.0,30.3,32.9,33.0
대전,동구,32.6,33.2,,32.8,32.4,31.6,31.6,34.3
대전,서구,22.7,31.2,,20.1,26.7,23.7,23.2,22.5
대전,유성구,24.7,27.3,,28.7,28.6,30.6,29.8,32.6
대전,중구,24.7,28.2,,30.2,31.8,31.0,30.9,32.5
울산,남구,25.5,26.6,,32.2,30.8,32.2,30.5,34.3
울산,동구,26.7,28.8,,30.6,33.7,33.6,37.0,34.9
울산,북구,29.2,32.0,,32.9,32.9,32.5,32.1,34.7
울산,울주군,26.4,28.4,,29.9,29.1,37.9,35.9,33.5
울산,중구,26.9,28.4,,24.6,29.5,31.6,33.8,36.5
세종,세종시,27.7,27.8,,28.0,27.5,27.7,29.3,29.1
경기,가평군,29.3,31.9,,32.5,27.6,32.6,35.0,34.0
경기,고양시,27.0,29.0,,29.9,29.9,32.1,32.0,31.7
경기,고양시 덕양구,30.7,31.5,,31.4,32.6,33.9,31.1,33.1
경기,고양시 일산동구,22.6,27.6,,27.2,26.6,28.0,32.0,33.4
경기,고양시 일산서구,26.0,26.3,,30.2,28.5,32.9,33.8,27.4
경기,과천시,19.7,25.0,,22.9,27.2,20.6,22.9,22.7
경기,구리시,25.5,31.2,,29.2,34.2,27.9,31.2,33.4
경기,김포시,30.3,29.1,,34.9,32.8,31.3,38.2,35.5
경기,남양주시,26.7,29.7,,33.5,33.9,35.0,34.7,34.6
경기,남양주시 남양주,,,,32.5,32.2,37.5,35.0,34.3
경기,남양주시 풍양,,,,35.3,37.4,30.3,34.1,34.9
경기,동두천시,32.0,34.3,,35.5,33.6,37.4,37.7,39.9
경기,부천시,26.8,30.9,,32.1,32.9,34.5,34.0,34.0
경기,부천시 소사,26.0,32.0,,32.0,33.9,33.9,35.8,35.0
경기,부천시 오정,30.8,33.0,,33.3,34.7,38.6,34.5,34.8
경기,부천시 원미,25.5,29.4,,31.6,31.6,33.1,32.9,33.3
경기,양주시,35.4,34.4,,31.8,35.7,32.9,34.9,38.2
경기,양평군,25.7,30.4,,33.7,32.7,32.1,31.7,36.2
경기,여주시,29.9,33.1,,35.5,34.1,35.4,36.7,35.5
경기,연천군,29.2,33.2,,33.1,34.2,36.8,36.8,42.6
경기,의정부시,31.7,33.6,,35.2,30.4,32.3,32.6,32.1
경기,이천시,31.4,31.8,,34.7,30.2,30.1,32.2,35.4
경기,파주시,32.1,33.6,,30.6,30.9,31.0,31.3,34.9
경기,포천시,31.9,33.3,,39.2,37.0,38.5,36.4,42.1
경기,하남시,29.3,31.0,,30.9,28.0,28.2,27.6,31.3
경기,광명시,26.1,28.7,,29.3,30.8,29.8,30.7,29.1
경기,광주시,26.6,27.9,,27.3,31.9,33.2,40.0,34.7
경기,군포시,28.2,28.8,,28.1,29.0,32.3,35.4,34.0
경기,성남시,24.7,26.7,,27.3,27.1,27.7,27.3,29.7
경기,성남시 분당구,22.8,23.6,,26.6,23.7,26.1,23.4,22.8
경기,성남시 수정구,26.0,29.3,,28.6,31.2,28.3,34.3,37.6
경기,성남시 중원구,27.1,30.9,,28.2,29.9,30.8,28.6,36.2
경기,수원시,28.6,30.8,,31.6,32.7,31.1,32.6,32.2
경기,수원시 권선구,29.9,32.0,,33.8,35.8,32.2,36.2,33.0
경기,수원시 영통구,28.2,28.3,,27.5,30.4,30.6,28.7,30.6
경기,수원시 장안구,27.9,33.0,,35.7,32.6,31.0,33.1,32.3
경기,수원시 팔달구,27.5,29.1,,27.2,30.5,30.8,32.3,33.4
경기,시흥시,28.9,32.5,,33.1,33.9,34.2,33.5,31.0
경기,안산시,30.6,33.6,,34.6,34.4,35.4,35.8,36.5
경기,안산시 단원구,30.0,31.8,,32.3,35.1,33.7,36.9,36.0
경기,안산시 상록구,31.1,35.1,,36.7,33.7,36.9,34.9,37.0
경기,안성시,31.1,31.2,,34.4,36.1,36.8,34.8,35.4
경기,안양시,27.0,32.8,,32.5,32.5,31.1,31.0,32.7
경기,안양시 동안구,23.4,30.4,,29.8,32.4,29.6,28.5,32.4
경기,안양시 만안구,31.4,35.5,,36.0,32.6,33.3,34.3,32.7
경기,오산시,30.5,32.6,,32.1,31.8,34.3,34.5,37.0
경기,용인시,24.8,29.4,,29.3,27.5,29.3,31.4,29.8
경기,용인시 기흥구,23.7,28.7,,29.2,28.4,29.2,32.7,30.8
경기,용인시 수지구,22.4,25.7,,25.7,24.9,24.9,26.2,24.6
경기,용인시 처인구,30.6,36.3,,34.7,29.9,35.5,36.9,35.9
경기,의왕시,26.0,33.2,,30.9,30.5,32.4,30.7,29.8
경기,평택시,30.3,34.3,,32.8,37.8,34.5,36.3,38.1
경기,평택시 송탄,31.4,37.3,,34.7,37.6,36.6,36.4,39.1
경기,평택시 평택,29.5,32.7,,31.7,38.1,33.3,36.5,37.8
경기,화성시,30.8,29.9,,33.5,31.6,30.4,34.3,34.2
경기,화성시 서부,,,,,,34.7,40.7,38.6
경기,화성시 동탄,,,,,,25.4,27.9,30.2
경기,화성시 동부,,,,,,32.0,35.8,35.1
강원,강릉시,31.4,32.4,,36.6,32.3,35.7,32.8,37.3
강원,고성군,31.1,33.5,,26.6,29.3,30.5,31.8,35.5
강원,동해시,31.6,36.8,,33.0,36.9,36.0,33.8,39.2
강원,삼척시,31.7,35.2,,36.0,29.8,39.5,33.8,41.6
강원,속초시,31.2,32.0,,29.2,35.1,29.3,38.9,37.1
강원,양구군,37.8,34.2,,33.5,40.9,39.3,37.8,43.3
강원,양양군,29.8,36.6,,33.3,36.1,38.0,37.5,40.4
강원,영월군,35.1,38.4,,30.0,41.2,34.9,42.8,36.0
강원,원주시,30.7,37.0,,28.5,34.1,35.7,34.5,31.7
강원,인제군,35.7,36.0,,35.6,40.2,39.8,44.5,38.3
강원,정선군,33.0,41.0,,34.9,41.0,42.2,33.7,40.2
