시도,시군구,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
서울,강남구,28.4(1.5),26.1(1.4),30.7(1.7),31.0(1.5),30.5(1.5),27.3(1.4),28.5(1.6),38.5(1.7),33.7(1.6),26.7(1.4),32.5(1.6),30.0(1.5),30.6(1.4),31.9(1.6),27.7(1.6),30.8(1.7),26.0(1.6)
서울,강동구,31.9(1.6),31.2(1.6),30.1(1.6),33.7(1.5),32.8(1.6),29.9(1.6),33.4(1.6),28.8(1.5),31.3(1.6),28.8(1.5),24.1(1.8),23.1(1.6),28.4(1.6),23.2(1.5),20.9(1.6),23.2(1.5),21.1(1.4)
서울,강북구,31.7(1.9),26.4(1.7),27.8(1.6),35.4(1.7),29.2(1.7),32.8(1.6),32.7(1.8),33.7(1.8),30.8(1.6),31.7(1.7),31.0(1.8),27.0(1.9),35.1(2.0),29.0(1.7),23.5(1.7),28.7(1.8),32.8(1.9)
서울,강서구,30.9(1.5),31.8(1.5),28.4(1.6),32.9(1.6),27.4(1.5),30.3(1.6),28.7(1.6),29.4(1.6),28.4(1.5),29.9(1.7),33.2(1.7),29.9(1.6),31.0(1.8),30.4(1.6),24.2(1.6),26.2(1.6),31.8(1.9)
서울,관악구,33.7(1.3),34.8(1.6),28.7(1.5),27.6(1.4),30.3(1.5),29.0(1.5),34.8(1.6),29.9(1.7),32.4(1.5),27.2(1.5),25.3(1.5),27.7(1.4),32.2(1.8),23.8(1.6),30.9(1.7),28.1(1.7),29.0(1.5)
서울,광진구,36.8(1.8),31.4(1.6),36.6(1.5),29.2(1.5),31.7(1.6),31.6(1.5),26.6(1.5),32.1(1.6),31.0(1.6),29.5(1.6),29.4(1.6),27.3(1.5),29.7(1.5),27.1(1.5),27.5(1.6),28.9(1.6),29.3(1.6)
서울,구로구,29.7(1.7),30.4(1.7),30.7(1.6),33.1(1.6),27.5(1.6),31.5(1.6),30.2(1.6),31.6(1.6),29.2(1.7),25.3(1.6),24.5(1.6),26.0(1.7),27.9(1.8),24.0(1.7),26.5(1.7),24.8(1.6),25.9(1.8)
서울,금천구,29.1(1.5),35.0(1.7),33.5(1.6),28.8(1.6),31.1(1.5),30.0(1.6),31.1(1.7),30.7(1.7),27.5(1.7),32.8(1.7),30.7(1.8),25.4(1.6),31.1(1.8),31.8(1.9),26.1(1.8),24.4(1.7),30.0(1.9)
서울,노원구,26.9(1.7),30.9(1.7),31.9(1.7),31.0(1.6),30.7(1.6),30.4(1.6),29.8(1.5),29.2(1.6),27.4(1.6),26.2(1.5),26.1(1.7),21.1(1.6),24.4(1.7),24.0(1.5),19.9(1.6),30.4(1.7),24.6(1.6)
서울,도봉구,24.3(1.8),30.2(1.6),29.3(1.6),29.3(1.6),30.1(1.6),26.4(1.6),28.6(1.7),30.6(1.7),30.9(1.7),30.7(1.7),28.9(1.7),29.0(1.8),29.0(1.8),31.8(2.0),29.1(1.9),25.7(1.8),27.8(2.0)
서울,동대문구,42.4(1.5),33.9(1.6),26.3(1.7),33.0(1.6),30.0(1.7),32.4(1.6),30.6(1.7),30.8(1.6),27.6(1.5),31.5(1.6),28.0(1.7),32.5(1.7),26.2(1.8),23.1(1.7),19.3(1.5),25.0(1.8),20.3(1.5)
서울,동작구,29.9(1.6),33.7(1.6),27.3(1.7),34.2(1.8),31.9(1.7),28.2(1.6),27.6(1.6),33.6(1.6),33.2(1.7),29.3(1.6),36.1(1.9),23.1(1.5),26.8(1.7),26.7(1.7),23.5(1.7),28.1(1.7),28.7(1.8)
서울,마포구,23.1(1.8),31.1(1.6),26.6(1.5),32.5(1.5),31.3(1.6),31.4(1.6),32.8(1.7),33.8(1.5),28.6(1.4),24.3(1.4),16.6(1.4),30.8(1.7),29.6(1.6),28.7(1.7),25.5(1.5),22.9(1.6),28.9(1.8)
서울,서대문구,29.2(1.6),36.5(1.6),30.1(1.7),33.5(1.6),35.8(1.7),27.4(1.5),27.5(1.6),32.9(1.8),26.3(1.5),26.5(1.7),25.8(1.6),28.5(1.8),20.8(1.5),28.2(1.8),25.5(1.7),30.2(1.6),29.3(1.7)
서울,서초구,31.4(1.7),37.4(1.6),27.3(1.5),26.4(1.5),32.7(1.7),28.7(1.5),27.7(1.5),33.9(1.7),31.1(1.7),29.3(1.6),34.1(1.7),28.3(1.7),29.2(1.6),27.7(1.6),27.6(1.6),24.9(1.6),25.5(1.6)
서울,성동구,23.9(1.5),29.7(1.5),27.3(1.6),31.4(1.6),30.1(1.6),27.4(1.5),30.4(1.5),29.4(1.6),29.8(1.6),30.9(1.5),31.3(1.7),32.6(1.8),31.8(1.6),30.5(1.6),27.2(1.5),27.3(1.7),24.9(1.5)
서울,성북구,35.8(1.6),34.4(1.7),35.5(1.6),35.8(1.6),30.6(1.6),29.1(1.6),32.8(1.6),33.8(1.7),31.7(1.7),30.5(1.7),29.5(1.7),30.0(1.7),33.8(1.8),30.8(1.9),28.4(1.7),30.1(1.7),24.2(1.7)
서울,송파구,33.6(1.6),30.0(1.5),31.6(1.5),29.5(1.4),36.0(1.7),28.0(1.4),29.3(1.4),29.0(1.5),29.0(1.6),25.0(1.4),16.1(1.3),23.5(1.6),25.9(1.6),29.0(1.5),27.6(1.5),31.0(1.5),24.0(1.4)
