구분,Unnamed: 1,Unnamed: 2,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,95% CI
서울,N,(명),"21,586","23,152","22,639","22,822","22,611","22,827","22,660","22,677","22,590","22,647","22,293",,"22,628","22,751","22,763","22,856","22,816",
서울,전체,(조율),20.6(0.3),21.4(0.3),21.7(0.3),22.7(0.3),23.7(0.3),23.2(0.3),23.9(0.3),24.7(0.3),25.7(0.3),25.7(0.3),28.8(0.3),,28.2(0.3),28.6(0.3),29.5(0.3),28.2(0.3),30.1(0.3),29.5-30.8
서울,,(표준화율),20.7(0.3),21.4(0.3),21.7(0.3),22.5(0.3),23.4(0.3),23.1(0.3),23.6(0.3),24.5(0.3),25.5(0.3),25.5(0.3),28.6(0.3),,28.5(0.3),29.2(0.3),30.2(0.4),28.8(0.3),31.0(0.4),30.3-31.7
서울,남,,26.6(0.5),27.7(0.5),28.5(0.5),29.8(0.5),31.0(0.5),30.6(0.5),31.7(0.5),32.9(0.5),34.1(0.5),34.5(0.5),37.6(0.5),,38.1(0.5),38.5(0.5),39.7(0.5),38.9(0.5),40.0(0.5),39.0-41.0
서울,여,,14.7(0.4),15.3(0.4),15.1(0.3),15.9(0.4),16.5(0.4),16.0(0.3),16.2(0.3),16.8(0.4),17.6(0.4),17.3(0.4),20.4(0.4),,18.9(0.4),19.4(0.4),20.0(0.4),18.4(0.4),21.0(0.4),20.3-21.8
서울,19-29,,12.8(0.6),13.9(0.6),13.1(0.6),15.4(0.6),15.1(0.7),14.6(0.7),14.4(0.6),16.3(0.6),17.4(0.7),18.9(0.7),21.0(0.8),,22.8(0.7),23.5(0.8),24.2(0.9),23.0(0.8),25.9(0.9),24.2-27.6
서울,30-39,,20.1(0.6),22.0(0.6),22.0(0.6),23.5(0.7),24.5(0.6),24.5(0.6),24.0(0.7),25.5(0.7),26.8(0.7),25.1(0.7),28.2(0.8),,29.7(0.9),30.6(0.8),33.7(0.8),30.7(0.8),34.3(0.9),32.6-36.0
서울,40-49,,24.1(0.7),23.0(0.7),23.4(0.7),23.6(0.6),25.7(0.7),26.1(0.7),27.5(0.7),27.7(0.7),28.3(0.7),28.8(0.7),32.2(0.8),,31.6(0.8),32.2(0.8),32.2(0.9),31.1(0.8),32.7(0.9),31.0-34.3
서울,50-59,,24.3(0.7),24.9(0.8),24.8(0.8),25.8(0.7),26.3(0.7),23.6(0.7),25.6(0.7),25.8(0.7),26.9(0.7),27.7(0.7),30.8(0.8),,29.2(0.8),29.4(0.7),29.9(0.7),29.2(0.8),30.6(0.8),29.0-32.1
서울,60-69,,25.6(0.9),26.2(0.9),27.9(0.9),27.5(0.9),29.3(0.9),28.5(0.9),28.1(0.9),28.5(0.8),27.8(0.8),29.6(0.8),31.0(0.8),,27.6(0.7),29.2(0.8),29.1(0.8),28.4(0.7),29.4(0.7),28.0-30.8
