구분,Unnamed: 1,Unnamed: 2,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,95% CI
서울,N,(명),,,,,,,,,,"22,854","22,858","22,823","22,819","22,890","22,921","22,917","22,883",
서울,전체,(조율),,,,,,,,,,3.6(0.1),3.6(0.1),3.8(0.1),3.2(0.1),3.7(0.1),4.1(0.1),4.4(0.2),4.4(0.2),4.1-4.7
서울,,(표준화율),,,,,,,,,,3.6(0.1),3.5(0.1),3.7(0.1),3.2(0.1),3.5(0.1),4.0(0.2),4.5(0.2),4.2(0.2),3.9-4.5
서울,남,,,,,,,,,,,2.7(0.2),2.8(0.2),2.8(0.2),2.3(0.2),2.6(0.2),2.9(0.2),3.4(0.2),3.4(0.2),3.1-3.8
서울,여,,,,,,,,,,,4.4(0.2),4.4(0.2),4.8(0.2),4.1(0.2),4.6(0.2),5.1(0.2),5.4(0.2),5.2(0.2),4.8-5.6
서울,19-29,,,,,,,,,,,5.2(0.4),4.0(0.3),5.2(0.4),4.1(0.3),4.1(0.4),5.0(0.4),6.9(0.5),4.7(0.4),3.9-5.6
서울,30-39,,,,,,,,,,,3.3(0.3),3.2(0.3),2.9(0.3),3.4(0.3),3.6(0.3),4.2(0.4),4.7(0.4),4.6(0.4),3.9-5.3
서울,40-49,,,,,,,,,,,2.0(0.2),2.8(0.3),2.5(0.3),2.3(0.3),2.8(0.3),3.1(0.3),3.5(0.3),3.2(0.3),2.6-3.8
서울,50-59,,,,,,,,,,,2.7(0.3),2.9(0.3),2.8(0.3),2.3(0.2),2.9(0.3),3.1(0.3),2.6(0.3),3.3(0.3),2.7-3.9
서울,60-69,,,,,,,,,,,3.1(0.3),3.0(0.3),3.4(0.3),2.7(0.3),2.5(0.3),3.5(0.3),3.0(0.3),3.4(0.3),2.9-4.0
서울,70이상,,,,,,,,,,,6.1(0.5),6.6(0.4),7.1(0.5),5.1(0.4),6.4(0.5),5.8(0.4),5.8(0.4),7.3(0.4),6.4-8.1
부산,N,(명),,,,,,,,,,"14,506","14,484","14,502","14,477","14,488","14,497","14,452","14,505",
부산,전체,(조율),,,,,,,,,,3.1(0.2),4.0(0.2),3.1(0.2),2.6(0.2),3.2(0.2),4.6(0.2),4.3(0.2),4.4(0.2),4.0-4.8
부산,,(표준화율),,,,,,,,,,2.8(0.2),3.5(0.2),2.7(0.2),2.6(0.2),3.0(0.2),4.1(0.2),4.2(0.2),4.0(0.2),3.5-4.4
부산,남,,,,,,,,,,,2.3(0.2),2.8(0.2),2.2(0.2),1.8(0.2),2.5(0.2),3.4(0.2),3.4(0.2),3.4(0.2),2.9-3.9
부산,여,,,,,,,,,,,3.7(0.2),5.1(0.3),3.9(0.2),3.3(0.2),3.9(0.2),5.6(0.3),5.2(0.3),5.4(0.3),4.8-6.0
부산,19-29,,,,,,,,,,,3.2(0.4),2.9(0.4),2.5(0.4),3.1(0.4),3.0(0.4),3.8(0.5),4.7(0.6),3.6(0.6),2.5-4.7
부산,30-39,,,,,,,,,,,2.0(0.4),3.1(0.4),2.2(0.3),2.5(0.4),3.5(0.5),4.0(0.6),4.3(0.6),3.8(0.5),2.8-4.8
부산,40-49,,,,,,,,,,,1.8(0.3),2.1(0.3),2.3(0.3),2.3(0.4),1.8(0.3),3.4(0.4),3.3(0.4),3.2(0.4),2.4-3.9
부산,50-59,,,,,,,,,,,2.2(0.3),3.1(0.4),2.1(0.3),1.9(0.3),2.3(0.3),3.5(0.4),3.7(0.4),4.0(0.4),3.1-4.8
부산,60-69,,,,,,,,,,,4.1(0.4),4.4(0.5),3.9(0.4),2.2(0.3),3.1(0.3),4.4(0.4),3.8(0.3),3.8(0.4),3.0-4.6
부산,70이상,,,,,,,,,,,6.3(0.6),9.3(0.6),5.9(0.5),3.8(0.4),6.1(0.5),8.2(0.5),6.2(0.5),8.0(0.5),7.0-9.1
대구,N,(명),,,,,,,,,,"7,297","7,289","7,278","7,311","7,326","7,311","8,181","8,168",
대구,전체,(조율),,,,,,,,,,2.4(0.2),2.1(0.2),2.7(0.2),2.1(0.2),2.7(0.2),3.1(0.2),3.6(0.2),3.1(0.2),2.6-3.5
대구,,(표준화율),,,,,,,,,,2.4(0.2),1.9(0.2),2.6(0.2),2.1(0.2),2.7(0.2),3.1(0.2),3.6(0.3),3.0(0.3),2.5-3.5
대구,남,,,,,,,,,,,1.7(0.2),1.7(0.2),1.7(0.2),1.1(0.2),1.9(0.2),2.3(0.3),3.1(0.3),3.1(0.3),2.4-3.7
대구,여,,,,,,,,,,,3.1(0.3),2.4(0.3),3.6(0.3),3.0(0.3),3.5(0.3),3.8(0.3),4.0(0.3),3.1(0.3),2.5-3.6
대구,19-29,,,,,,,,,,,2.9(0.5),2.3(0.6),2.7(0.5),2.2(0.5),2.9(0.4),3.7(0.6),3.1(0.6),3.3(0.7),2.0-4.6
대구,30-39,,,,,,,,,,,2.3(0.4),1.3(0.4),2.6(0.5),1.8(0.5),3.2(0.7),3.2(0.6),4.0(0.7),3.2(0.6),2.0-4.4
대구,40-49,,,,,,,,,,,1.2(0.2),1.3(0.3),2.0(0.4),2.1(0.4),2.6(0.4),2.4(0.4),4.0(0.6),2.2(0.5),1.2-3.1
대구,50-59,,,,,,,,,,,1.1(0.2),1.5(0.4),1.7(0.3),2.0(0.4),1.2(0.3),1.9(0.4),2.3(0.4),2.6(0.5),1.7-3.5
대구,60-69,,,,,,,,,,,2.7(0.5),1.7(0.4),3.1(0.5),1.6(0.4),2.2(0.4),2.7(0.3),2.7(0.4),2.7(0.4),1.9-3.4
대구,70이상,,,,,,,,,,,6.3(0.9),5.3(0.8),4.8(0.8),3.1(0.5),5.2(0.7),5.2(0.7),5.7(0.7),4.8(0.5),3.8-5.9
인천,N,(명),,,,,,,,,,"8,969","8,965","8,960","8,960","8,966","8,977","8,971","8,974",
인천,전체,(조율),,,,,,,,,,3.8(0.3),5.0(0.3),3.5(0.2),3.6(0.2),3.8(0.2),4.6(0.3),4.7(0.3),5.2(0.3),4.6-5.8
인천,,(표준화율),,,,,,,,,,3.8(0.2),4.8(0.3),3.5(0.2),3.7(0.3),3.8(0.2),4.7(0.3),4.6(0.3),5.1(0.3),4.5-5.7
인천,남,,,,,,,,,,,2.6(0.3),3.9(0.4),2.3(0.2),2.6(0.3),2.5(0.3),3.4(0.3),3.7(0.3),4.2(0.4),3.4-4.9
인천,여,,,,,,,,,,,5.0(0.4),6.0(0.4),4.8(0.4),4.6(0.3),5.1(0.4),5.8(0.4),5.6(0.4),6.2(0.4),5.4-7.1
인천,19-29,,,,,,,,,,,4.6(0.6),4.8(0.7),4.1(0.6),3.9(0.6),4.3(0.7),5.0(0.7),5.0(0.7),5.9(1.0),4.0-7.7
인천,30-39,,,,,,,,,,,3.9(0.6),4.0(0.7),3.6(0.5),4.8(0.7),4.2(0.6),5.7(0.7),4.7(0.6),5.3(0.7),3.9-6.7
인천,40-49,,,,,,,,,,,2.8(0.4),3.2(0.6),2.7(0.4),2.1(0.4),2.5(0.5),3.2(0.5),3.8(0.6),3.5(0.5),2.5-4.6
인천,50-59,,,,,,,,,,,3.2(0.6),5.5(0.7),2.9(0.5),2.9(0.4),3.6(0.5),3.0(0.5),2.9(0.5),3.5(0.5),2.5-4.6
인천,60-69,,,,,,,,,,,4.2(0.9),5.3(0.7),2.9(0.5),4.4(0.6),2.8(0.4),4.2(0.5),4.0(0.5),4.2(0.6),3.1-5.4
