시도,2019년,2020년,2021년,2022년,2023년
,환자수,환자수,환자수,환자수,환자수
서울,200186,207532,231759,260483,275918
부산,65255,68087,73931,78838,80842
인천,46239,45192,49026,54070,57709
대구,43537,43912,46877,49185,50381
광주,22532,24142,26746,28704,28907
대전,27651,27513,28830,31108,32105
울산,13422,13619,15067,15845,15645
경기,179763,192467,219580,249659,261522
강원,24651,25552,26563,27453,26984
충북,27812,29278,31222,33283,34385
충남,33742,35236,38699,40589,39976
전북,26633,26956,26845,28519,28544
전남,19461,20691,22517,23117,24531
경북,35287,36018,37603,38695,40589
경남,36212,38550,42252,45389,47852
제주,11573,12094,12887,13611,14593
세종,5247,6574,8047,9128,10322
