시도,시군구,2017,2018,2019,2020,2021,2022,2023,2024
서울,강남구,5.2,4.3,4.0,4.9,3.5,2.9,3.3,5.3
서울,강동구,4.7,4.7,4.4,3.4,4.3,3.6,5.5,3.7
서울,강북구,3.6,5.3,2.2,2.8,1.3,2.7,4.2,4.7
서울,강서구,4.4,3.5,2.6,3.2,3.8,3.1,4.4,4.9
서울,관악구,3.1,3.5,5.2,5.4,2.0,7.1,5.3,4.2
서울,광진구,3.2,4.4,2.5,3.0,3.7,5.3,4.1,6.3
서울,구로구,1.5,2.6,4.5,2.2,2.9,4.1,3.4,4.7
서울,금천구,2.9,4.5,3.8,4.0,7.8,3.3,2.7,6.2
서울,노원구,2.0,2.7,2.5,3.5,3.1,5.0,5.7,4.7
서울,도봉구,5.4,3.3,4.0,3.5,4.0,5.5,6.3,8.1
서울,동대문구,4.6,1.3,2.2,1.4,2.5,0.9,3.0,2.2
서울,동작구,3.6,4.9,2.8,2.7,1.7,2.7,4.5,2.4
서울,마포구,3.5,2.4,3.3,2.9,1.6,5.7,5.4,5.4
서울,서대문구,3.1,1.5,4.1,1.3,5.1,6.0,6.9,6.6
서울,서초구,3.7,2.8,3.8,3.3,3.3,3.4,3.4,4.9
서울,성동구,3.2,3.7,4.5,2.4,4.9,3.9,5.1,3.6
서울,성북구,4.5,5.8,4.6,4.0,5.3,3.0,5.9,3.4
서울,송파구,3.0,1.9,3.0,1.4,3.0,3.2,4.2,2.5
서울,양천구,2.4,2.7,3.8,3.4,1.8,3.1,1.7,2.2
서울,영등포구,2.9,2.9,2.1,2.7,5.4,5.7,3.9,4.6
서울,용산구,2.1,0.9,1.8,0.8,4.0,3.3,3.7,2.0
서울,은평구,3.6,5.2,5.8,4.8,4.4,2.4,3.1,2.6
서울,종로구,4.0,5.5,2.8,3.4,5.0,6.9,4.5,6.9
서울,중구,1.9,2.1,2.1,0.7,2.0,2.5,3.2,3.4
서울,중랑구,5.5,4.3,6.5,4.9,4.1,5.2,7.5,2.8
부산,강서구,3.2,3.3,1.8,1.2,1.7,1.9,1.3,1.9
부산,금정구,0.9,2.6,1.7,1.6,4.4,5.2,4.0,3.7
부산,기장군,3.3,4.5,3.1,1.5,4.0,2.6,3.4,5.0
부산,남구,2.0,2.7,2.7,2.3,2.8,5.3,3.7,2.8
부산,동구,3.8,4.3,1.7,4.6,3.5,3.0,2.3,4.2
부산,동래구,2.2,1.8,2.7,1.1,1.8,3.3,3.9,2.1
부산,부산진구,3.0,3.2,2.8,1.7,1.5,4.7,3.8,6.2
부산,북구,2.6,4.0,2.1,2.4,3.3,3.0,7.2,2.4
부산,사상구,3.2,4.1,4.7,3.1,4.7,6.8,8.2,4.7
부산,사하구,3.0,4.5,2.5,3.9,2.4,3.9,5.6,4.4
부산,서구,0.9,2.8,1.0,3.2,3.1,6.1,2.6,2.2
부산,수영구,2.6,3.2,0.6,3.2,3.0,3.6,2.9,4.8
부산,연제구,2.6,4.0,4.7,2.7,3.5,2.4,4.0,5.3
부산,영도구,4.8,5.0,3.5,2.9,5.1,6.8,3.4,4.9
부산,중구,2.6,6.1,2.2,4.2,1.9,4.1,3.3,3.5
부산,해운대구,4.0,3.1,3.7,3.3,3.0,4.2,3.2,3.5
대구,남구,2.3,2.6,1.3,1.3,3.3,4.6,5.9,4.0
대구,달서구,2.5,2.7,2.6,2.6,2.7,2.0,2.8,2.1
대구,달성군,3.5,2.2,3.3,2.1,3.3,5.2,2.9,3.5
대구,동구,3.1,1.3,2.6,1.2,2.3,3.5,3.7,4.2
대구,북구,1.0,2.0,3.9,2.1,3.2,2.9,5.9,3.0
대구,서구,2.3,1.5,2.3,2.9,2.2,3.7,1.1,2.1
대구,수성구,2.3,1.4,1.1,1.5,2.6,2.3,3.1,2.8
대구,중구,4.4,1.5,3.1,4.1,3.4,3.9,2.5,2.9
대구,군위군,,,,,,,2.4,3.4
인천,강화군,3.1,3.3,2.9,1.2,2.5,2.3,5.3,6.0
인천,계양구,3.4,5.3,3.9,4.5,7.2,3.6,5.5,3.7
인천,미추홀구,5.8,7.0,4.9,5.3,4.9,6.3,5.6,4.4
인천,남동구,4.1,2.8,2.7,1.4,2.8,5.8,5.8,8.9
인천,동구,6.0,7.0,5.4,4.7,1.9,4.2,4.7,4.5
인천,부평구,4.4,4.3,3.4,3.5,3.5,5.1,3.3,5.7
