시도,시군구,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
서울,강남구,19.8(1.3),20.4(1.2),19.2(1.3),22.4(1.3),20.9(1.3),23.2(1.4),18.1(1.3),19.8(1.2),17.4(1.2),17.5(1.1),19.9(1.3),15.8(1.3),17.2(1.2),12.3(1.1),13.3(1.2),15.2(1.4),11.7(1.1)
서울,강동구,23.3(1.3),24.5(1.2),26.7(1.4),22.3(1.3),23.7(1.4),23.2(1.2),18.9(1.4),20.4(1.2),19.5(1.2),18.4(1.3),15.8(1.3),19.3(1.4),15.0(1.3),14.5(1.2),14.5(1.2),17.3(1.4),14.5(1.2)
서울,강북구,27.0(1.5),27.5(1.4),26.0(1.5),26.0(1.5),27.9(1.4),24.1(1.3),27.2(1.4),24.1(1.6),21.5(1.3),24.5(1.5),25.7(1.7),21.7(1.7),19.7(1.6),18.1(1.3),21.5(1.6),22.3(1.6),20.3(1.7)
서울,강서구,26.4(1.4),25.1(1.2),22.3(1.3),21.5(1.3),22.1(1.3),22.2(1.3),22.4(1.4),20.9(1.3),19.6(1.2),22.3(1.5),19.8(1.3),18.1(1.3),18.2(1.3),16.0(1.3),15.3(1.4),20.1(1.5),16.1(1.5)
서울,관악구,27.4(1.3),27.2(1.4),23.8(1.2),22.4(1.4),24.7(1.3),23.0(1.3),20.2(1.3),23.7(1.3),22.5(1.3),20.7(1.3),23.5(1.3),18.8(1.3),16.5(1.4),17.6(1.3),18.2(1.3),20.7(1.3),18.5(1.3)
서울,광진구,28.7(1.5),24.5(1.3),25.3(1.3),23.3(1.2),23.8(1.1),20.9(1.3),18.5(1.2),19.3(1.3),20.5(1.3),19.1(1.2),22.8(1.5),22.1(1.4),15.4(1.2),16.1(1.3),16.9(1.3),19.3(1.3),17.1(1.3)
서울,구로구,27.0(1.4),25.2(1.4),23.1(1.4),23.4(1.3),23.6(1.3),20.2(1.2),21.7(1.3),19.2(1.4),22.8(1.6),18.3(1.4),18.7(1.5),16.6(1.3),15.5(1.3),13.5(1.4),15.8(1.3),18.0(1.6),16.1(1.4)
서울,금천구,26.7(1.4),26.3(1.3),26.5(1.3),23.9(1.4),25.1(1.4),24.5(1.3),23.7(1.6),23.1(1.5),25.6(1.4),20.3(1.3),23.8(1.5),20.0(1.5),20.6(1.4),16.9(1.5),18.2(1.3),19.5(1.3),22.3(1.5)
서울,노원구,24.9(1.5),23.3(1.5),24.5(1.3),25.0(1.4),20.0(1.4),22.1(1.3),19.6(1.2),19.5(1.3),19.9(1.4),18.7(1.3),19.5(1.3),20.6(1.4),13.1(1.3),14.6(1.3),16.4(1.5),16.7(1.2),14.8(1.4)
서울,도봉구,24.6(1.2),25.9(1.4),26.9(1.4),23.0(1.3),26.2(1.4),22.8(1.4),22.4(1.4),18.1(1.3),22.7(1.6),23.0(1.4),21.1(1.5),17.2(1.4),20.9(1.6),17.5(1.5),19.1(1.6),19.4(1.5),19.7(1.7)
서울,동대문구,26.5(1.3),27.4(1.5),26.3(1.4),25.3(1.4),25.0(1.4),24.0(1.4),22.3(1.4),19.6(1.3),21.6(1.4),24.2(1.3),18.8(1.4),19.1(1.4),17.0(1.4),17.5(1.4),13.6(1.4),17.0(1.5),15.6(1.4)
서울,동작구,21.4(1.4),22.1(1.2),23.7(1.5),21.6(1.4),22.1(1.5),21.7(1.2),20.5(1.3),18.6(1.2),19.2(1.3),18.2(1.2),18.4(1.5),16.8(1.4),15.0(1.2),13.4(1.1),14.0(1.2),18.3(1.6),13.7(1.3)
서울,마포구,26.0(1.6),27.2(1.3),24.3(1.3),22.6(1.4),22.9(1.4),23.0(1.4),22.7(1.4),22.4(1.4),20.1(1.4),17.8(1.3),17.8(1.2),17.6(1.4),17.6(1.4),14.2(1.2),15.9(1.4),17.3(1.5),16.0(1.3)
서울,서대문구,27.0(1.6),24.6(1.2),23.3(1.3),21.9(1.3),25.9(1.4),24.3(1.4),22.0(1.4),22.9(1.4),19.5(1.2),22.9(1.5),21.1(1.5),18.3(1.4),16.2(1.3),17.5(1.5),18.1(1.5),17.1(1.3),14.5(1.4)
서울,서초구,20.0(1.6),21.4(1.3),19.9(1.4),17.8(1.3),18.6(1.2),20.0(1.3),15.4(1.1),17.6(1.3),18.6(1.2),16.2(1.2),16.3(1.2),13.3(1.2),13.1(1.2),13.7(1.4),13.6(1.3),12.7(1.2),13.8(1.3)
서울,성동구,26.7(1.3),25.2(1.2),22.7(1.3),24.1(1.3),22.6(1.3),22.2(1.4),24.9(1.4),19.3(1.4),20.9(1.3),20.4(1.3),20.4(1.3),20.2(1.4),18.7(1.4),15.2(1.3),12.5(1.2),15.2(1.3),15.1(1.2)
서울,성북구,25.8(1.5),25.8(1.4),26.7(1.4),25.4(1.3),24.8(1.3),25.6(1.4),24.5(1.4),21.3(1.3),23.1(1.4),19.8(1.3),20.6(1.4),18.6(1.3),18.6(1.5),17.2(1.4),18.9(1.4),19.0(1.5),19.8(1.6)
서울,송파구,18.4(1.2),23.6(1.2),21.1(1.0),21.4(1.3),22.6(1.2),19.6(1.2),20.8(1.2),16.9(1.2),18.2(1.1),18.3(1.1),16.1(1.4),15.4(1.2),14.3(1.2),15.3(1.1),17.0(1.3),15.4(1.1),12.2(1.1)
서울,양천구,22.3(1.3),24.4(1.3),22.0(1.4),20.4(1.3),22.2(1.4),22.2(1.3),19.1(1.3),17.8(1.2),18.8(1.3),20.5(1.4),16.7(1.3),16.2(1.2),14.4(1.3),18.7(1.3),15.7(1.3),15.5(1.4),14.1(1.3)
서울,영등포구,20.7(1.4),24.1(1.5),22.7(1.3),21.6(1.3),18.9(1.2),21.5(1.3),23.3(1.3),20.2(1.2),17.5(1.2),16.9(1.3),17.2(1.3),17.1(1.3),15.0(1.3),12.2(1.3),16.7(1.3),17.1(1.2),13.7(1.2)
서울,용산구,27.2(1.4),26.2(1.3),25.5(1.5),23.5(1.5),24.3(1.6),22.1(1.4),22.2(1.3),23.2(1.4),21.6(1.4),21.6(1.4),18.8(1.6),12.1(1.3),19.4(1.5),17.6(1.5),15.1(1.4),18.4(1.5),13.4(1.2)
서울,은평구,28.5(1.3),24.9(1.4),24.3(1.3),25.7(1.2),23.4(1.3),23.5(1.3),21.6(1.3),20.8(1.4),21.8(1.6),22.0(1.5),23.3(1.5),16.0(1.4),17.4(1.4),15.9(1.3),18.0(1.5),18.8(1.4),15.0(1.3)
서울,종로구,23.1(1.1),23.4(1.2),24.1(1.3),25.9(1.3),23.9(1.3),22.3(1.3),24.3(1.3),22.5(1.5),21.6(1.4),16.5(1.3),19.8(1.5),19.5(1.6),15.2(1.3),17.2(1.4),16.5(1.3),14.1(1.3),15.7(1.5)
서울,중구,25.3(1.4),27.1(1.3),24.4(1.3),25.6(1.3),26.8(1.4),24.4(1.5),22.7(1.5),24.5(1.5),23.3(1.4),20.8(1.5),25.0(1.5),18.0(1.4),17.1(1.4),17.1(1.3),17.2(1.3),20.0(1.3),14.7(1.2)
서울,중랑구,25.4(1.2),25.1(1.2),23.5(1.3),24.8(1.5),22.6(1.5),24.5(1.5),24.0(1.4),22.3(1.4),22.5(1.4),24.1(1.4),22.9(1.7),20.9(1.6),20.2(1.5),19.7(1.3),19.2(1.4),23.3(1.8),20.6(1.6)
부산,강서구,31.3(1.4),29.4(1.3),25.1(1.5),24.3(1.5),24.5(1.6),24.7(1.4),22.9(1.4),21.1(1.5),20.6(1.4),20.9(1.5),22.3(1.5),19.9(1.5),17.7(1.4),17.7(1.5),14.7(1.4),19.0(1.6),16.2(1.5)
부산,금정구,26.3(1.6),26.4(1.1),25.2(1.4),21.3(1.3),26.8(1.3),22.4(1.5),22.8(1.3),19.4(1.4),21.1(1.5),18.4(1.4),21.3(1.4),19.7(1.3),16.9(1.4),18.9(1.3),16.7(1.5),16.2(1.5),16.8(1.6)
부산,기장군,28.0(1.5),30.8(1.5),22.7(1.5),25.6(1.3),26.2(1.5),26.9(1.6),28.2(1.6),22.4(1.4),22.0(1.5),21.0(1.4),21.0(1.5),18.2(1.5),18.7(1.6),16.3(1.3),17.9(1.5),18.0(1.6),14.8(1.4)
부산,남구,27.6(1.4),26.6(1.4),25.5(1.5),23.6(1.3),22.5(1.4),25.3(1.2),24.4(1.4),20.1(1.3),19.9(1.3),23.2(1.5),22.3(1.5),17.0(1.4),17.4(1.6),17.8(1.5),13.9(1.4),19.7(1.7),14.4(1.4)
부산,동구,29.7(1.4),28.4(1.3),30.8(1.5),24.7(1.5),27.2(1.5),28.6(1.3),26.9(1.4),22.7(1.5),25.0(1.4),21.4(1.5),20.6(1.6),17.5(1.7),23.5(1.6),18.9(1.6),20.0(1.8),18.9(1.9),18.5(1.7)
부산,동래구,22.2(1.2),24.6(1.4),21.7(1.4),25.1(1.5),23.2(1.4),22.9(1.4),23.1(1.3),19.0(1.4),23.2(1.3),20.2(1.3),18.1(1.3),15.6(1.4),16.1(1.4),16.3(1.4),15.1(1.2),16.2(1.5),15.1(1.4)
부산,부산진구,28.2(1.2),27.4(1.3),27.6(1.3),25.8(1.2),25.9(1.2),25.5(1.1),27.0(1.3),20.7(1.3),21.8(1.4),23.7(1.5),21.9(1.5),20.7(1.6),20.4(1.3),17.3(1.3),21.5(1.6),19.8(1.6),18.3(1.5)
부산,북구,28.8(1.4),24.7(1.3),24.6(1.4),24.9(1.3),25.9(1.4),23.7(1.3),20.8(1.4),21.9(1.4),18.7(1.2),21.5(1.4),16.6(1.5),18.1(1.3),17.4(1.5),15.0(1.5),16.1(1.4),19.2(1.6),14.6(1.5)
부산,사상구,28.8(1.8),31.1(1.3),26.0(1.3),26.8(1.2),27.4(1.3),23.6(1.4),24.4(1.2),23.1(1.3),22.2(1.5),21.1(1.4),22.6(1.4),20.3(1.5),20.9(1.4),20.1(1.5),23.0(1.8),19.8(1.6),21.4(1.7)
부산,사하구,28.3(1.4),27.8(1.3),25.3(1.4),25.9(1.3),24.4(1.3),23.7(1.2),19.5(1.3),23.8(1.4),24.3(1.3),22.3(1.4),21.3(1.7),19.2(1.2),20.0(1.5),20.1(1.5),21.5(1.5),20.3(1.6),18.4(1.6)
부산,서구,29.4(1.4),31.0(1.5),28.6(1.4),27.5(1.4),25.8(1.3),26.0(1.7),25.5(1.7),23.5(1.6),21.6(1.4),20.3(1.7),23.4(1.8),19.9(1.7),20.3(1.6),17.0(1.5),22.9(2.0),21.0(1.6),17.8(1.7)
부산,수영구,27.6(1.2),24.6(1.5),22.2(1.4),24.8(1.5),25.2(1.3),25.3(1.6),20.5(1.5),17.0(1.5),24.0(1.5),23.2(1.6),22.1(1.7),20.7(1.8),18.5(1.7),19.1(1.5),18.4(1.5),21.4(1.7),19.4(1.8)
부산,연제구,23.1(1.4),27.2(1.3),24.1(1.4),23.9(1.4),20.1(1.4),21.1(1.4),20.2(1.4),21.5(1.5),19.9(1.3),20.1(1.6),17.9(1.5),17.1(1.6),17.3(1.5),16.4(1.4),15.4(1.6),16.4(1.6),15.6(1.7)
부산,영도구,29.3(1.5),28.3(1.6),27.7(1.5),27.8(1.4),27.0(1.4),26.3(1.4),26.6(1.4),21.9(1.4),22.6(1.6),28.8(1.5),25.6(1.6),22.7(1.9),20.3(1.7),18.7(1.7),21.7(1.8),23.4(2.0),18.6(1.8)
부산,중구,30.8(1.5),31.6(1.3),27.2(1.5),30.7(1.7),30.0(1.4),26.1(1.6),27.6(1.5),26.9(1.6),23.1(1.6),27.6(1.4),30.2(1.7),25.1(1.7),28.1(1.6),24.3(1.8),23.3(1.9),23.7(2.0),20.6(1.7)
부산,해운대구,24.1(1.5),27.9(1.3),26.6(1.4),25.8(1.4),20.3(1.5),24.7(1.5),22.6(1.4),24.3(1.5),20.7(1.5),20.8(1.5),22.4(1.5),18.5(1.6),15.9(1.4),17.0(1.4),17.8(1.4),15.3(1.2),15.4(1.5)
대구,남구,27.6(1.4),28.5(1.4),28.4(1.4),26.8(1.5),24.2(1.3),25.0(1.4),26.1(1.5),25.0(1.5),25.5(1.6),20.7(1.4),23.9(1.7),20.4(1.5),24.9(1.5),21.3(1.6),21.7(1.7),24.6(1.8),19.4(1.6)
대구,달서구,23.4(1.1),26.8(1.2),23.6(1.1),25.4(1.3),25.3(1.2),24.1(1.3),24.1(1.3),21.2(1.2),20.4(1.2),21.5(1.3),22.5(1.4),20.8(1.4),18.3(1.2),19.6(1.1),15.9(1.3),17.5(1.4),18.6(1.4)
대구,달성군,28.2(1.4),26.9(1.3),24.9(1.3),24.8(1.3),26.3(1.2),23.3(1.1),22.8(1.3),23.0(1.4),19.5(1.3),21.2(1.4),20.4(1.6),22.4(1.5),17.4(1.3),18.6(1.5),18.6(1.3),19.9(1.5),18.0(1.3)
대구,동구,26.1(1.3),26.9(1.2),27.7(1.4),26.3(1.2),25.2(1.4),23.3(1.4),24.2(1.3),22.3(1.2),19.3(1.4),21.7(1.3),25.9(1.6),18.9(1.4),18.6(1.3),18.7(1.3),18.4(1.4),19.0(1.3),22.4(1.5)
대구,북구,28.2(1.2),23.8(1.1),23.1(1.2),25.0(1.1),26.8(1.3),24.5(1.1),22.5(1.3),21.7(1.2),21.9(1.3),20.3(1.3),20.2(1.2),18.6(1.3),21.6(1.3),18.3(1.3),16.4(1.2),20.6(1.4),19.1(1.2)
대구,서구,29.1(1.5),29.2(1.2),27.1(1.4),29.3(1.3),27.9(1.2),29.5(1.4),24.6(1.4),25.4(1.4),25.8(1.5),24.9(1.5),22.7(1.6),24.1(1.6),24.1(1.3),24.4(1.3),23.9(1.6),24.2(1.6),23.4(1.7)
대구,수성구,20.6(1.1),23.5(1.2),24.1(1.3),20.5(1.2),22.7(1.3),23.1(1.2),22.1(1.3),16.5(1.2),16.7(1.4),16.8(1.3),20.0(1.3),16.4(1.3),17.1(1.2),15.5(1.2),14.3(1.3),17.1(1.4),15.9(1.3)
대구,중구,27.6(1.5),28.2(1.3),26.8(1.4),25.9(1.5),24.6(1.5),24.8(1.5),25.3(1.4),18.6(1.6),22.8(1.5),21.8(1.5),17.7(1.3),20.3(1.5),16.3(1.3),18.1(1.4),19.5(1.4),19.0(1.4),17.2(1.3)
대구,군위군,,,,,,,,,,,,,,,,22.6(3.5),25.3(3.4)
인천,강화군,25.6(2.0),28.9(1.5),22.2(1.5),23.8(2.3),23.6(2.1),26.7(1.9),27.0(2.0),24.5(2.0),23.6(2.7),21.0(2.0),22.8(2.2),23.1(2.7),21.2(2.5),17.8(2.3),18.6(2.0),17.8(2.1),20.5(2.6)
인천,계양구,28.8(1.4),25.1(1.4),27.1(1.4),27.3(1.4),25.8(1.3),22.4(1.3),24.3(1.3),24.5(1.4),27.4(1.4),23.2(1.4),24.0(1.4),20.7(1.5),20.6(1.5),18.7(1.4),22.6(1.4),19.7(1.6),18.1(1.5)
인천,미추홀구,27.8(1.6),25.8(1.2),28.6(1.3),25.9(1.2),28.8(1.4),28.3(1.3),29.2(1.4),28.4(1.6),28.8(1.4),27.2(1.3),27.7(1.3),28.2(1.6),25.7(1.6),27.6(1.5),26.1(1.5),26.0(1.8),22.0(1.5)
인천,남동구,25.3(1.4),26.8(1.4),25.0(1.3),28.4(1.4),25.9(1.5),24.2(1.4),25.0(1.4),25.7(1.4),23.3(1.5),26.6(1.4),22.2(1.4),19.7(1.4),19.3(1.5),19.2(1.4),20.2(1.5),19.7(1.5),18.4(1.5)
인천,동구,27.4(1.3),29.6(1.2),28.6(1.3),28.2(1.4),25.9(1.4),23.5(1.5),24.1(1.5),26.5(1.7),24.4(1.4),24.3(1.7),23.6(1.7),23.0(1.8),23.9(1.7),17.2(1.7),19.7(1.9),22.7(1.7),20.5(1.8)
인천,부평구,26.5(1.4),28.2(1.2),25.9(1.4),24.0(1.2),23.0(1.4),24.4(1.3),25.3(1.2),21.8(1.1),23.0(1.3),20.0(1.3),22.1(1.4),22.3(1.4),17.6(1.3),16.8(1.2),21.7(1.5),19.1(1.4),18.8(1.6)
인천,서구,23.8(1.3),25.9(1.3),29.5(1.3),26.7(1.3),26.8(1.3),24.1(1.2),26.8(1.2),22.4(1.2),24.4(1.3),20.5(1.4),22.9(1.5),16.3(1.2),20.7(1.4),19.4(1.3),16.7(1.2),17.5(1.4),18.3(1.1)
